"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","303","Create user","tests.users","Mon Mar 09 16:06:21 UTC 2026","passed","Mon Mar 09 16:06:21 UTC 2026","TestUsers","test_users","",""
"","30","Get file","LMS service","Mon Mar 09 16:06:18 UTC 2026","passed","Mon Mar 09 16:06:18 UTC 2026","Get entity","Files","",""
"","30","Get exercises","LMS service","Mon Mar 09 16:06:18 UTC 2026","passed","Mon Mar 09 16:06:18 UTC 2026","Get entities","Exercises","",""
"","613","Delete course","LMS service","Mon Mar 09 16:06:13 UTC 2026","passed","Mon Mar 09 16:06:14 UTC 2026","Delete entity","Courses","",""
"","328","Update course","LMS service","Mon Mar 09 16:06:14 UTC 2026","passed","Mon Mar 09 16:06:14 UTC 2026","Update entity","Courses","",""
"","1129","Delete file","LMS service","Mon Mar 09 16:06:21 UTC 2026","passed","Mon Mar 09 16:06:22 UTC 2026","Delete entity","Files","",""
"","580","Create exercise","LMS service","Mon Mar 09 16:06:16 UTC 2026","passed","Mon Mar 09 16:06:17 UTC 2026","Create entity","Exercises","",""
"","550","Delete user","tests.users","Mon Mar 09 16:06:24 UTC 2026","passed","Mon Mar 09 16:06:24 UTC 2026","TestUsers","test_users","",""
"","263","Get user","tests.users","Mon Mar 09 16:06:24 UTC 2026","passed","Mon Mar 09 16:06:24 UTC 2026","TestUsers","test_users","",""
"","54","Create course","LMS service","Mon Mar 09 16:06:13 UTC 2026","passed","Mon Mar 09 16:06:13 UTC 2026","Create entity","Courses","",""
"","33","Get course","LMS service","Mon Mar 09 16:06:15 UTC 2026","passed","Mon Mar 09 16:06:15 UTC 2026","Get entity","Courses","",""
"","808","Create file with incorrect file id","LMS service","Mon Mar 09 16:06:20 UTC 2026","passed","Mon Mar 09 16:06:21 UTC 2026","Validate entity","Files","",""
"","598","Get courses","LMS service","Mon Mar 09 16:06:16 UTC 2026","passed","Mon Mar 09 16:06:17 UTC 2026","Get entities","Courses","",""
"","848","Login with correct email and password","LMS service","Mon Mar 09 16:06:12 UTC 2026","passed","Mon Mar 09 16:06:13 UTC 2026","Login","Authentication","",""
"","289","Create file","LMS service","Mon Mar 09 16:06:18 UTC 2026","passed","Mon Mar 09 16:06:18 UTC 2026","Create entity","Files","",""
"","19","Get user me","tests.users","Mon Mar 09 16:06:23 UTC 2026","passed","Mon Mar 09 16:06:23 UTC 2026","TestUsers","test_users","",""
"","267","Create file with empty directory","LMS service","Mon Mar 09 16:06:20 UTC 2026","passed","Mon Mar 09 16:06:21 UTC 2026","Validate entity","Files","",""
"","550","Create file with empty filename","LMS service","Mon Mar 09 16:06:20 UTC 2026","passed","Mon Mar 09 16:06:21 UTC 2026","Validate entity","Files","",""
"","36","Update exercise","LMS service","Mon Mar 09 16:06:17 UTC 2026","passed","Mon Mar 09 16:06:17 UTC 2026","Update entity","Exercises","",""
"","1057","Create user","tests.users","Mon Mar 09 16:06:22 UTC 2026","passed","Mon Mar 09 16:06:23 UTC 2026","TestUsers","test_users","",""
"","0","Successful refresh token","LMS service","Mon Mar 09 16:06:13 UTC 2026","skipped","Mon Mar 09 16:06:13 UTC 2026","Refresh token","Authentication","",""
"","1120","Create user","tests.users","Mon Mar 09 16:06:21 UTC 2026","passed","Mon Mar 09 16:06:22 UTC 2026","TestUsers","test_users","",""
"","573","Get exercise","LMS service","Mon Mar 09 16:06:14 UTC 2026","passed","Mon Mar 09 16:06:15 UTC 2026","Get entity","Exercises","",""
"","580","Delete exercise","LMS service","Mon Mar 09 16:06:18 UTC 2026","passed","Mon Mar 09 16:06:18 UTC 2026","Delete entity","Exercises","",""
"","806","Update user","tests.users","Mon Mar 09 16:06:22 UTC 2026","passed","Mon Mar 09 16:06:23 UTC 2026","TestUsers","test_users","",""
